
 		 ASCII TABLE !! 


 char 	 decimal  	 hex 
================================
 Ã 	 204 	 	 cc 
 Õ 	 205 	 	 cd 
 Œ 	 206 	 	 ce 
 œ 	 207 	 	 cf 
 – 	 208 	 	 d0 
 — 	 209 	 	 d1 
 “ 	 210 	 	 d2 
 ” 	 211 	 	 d3 
 ‘ 	 212 	 	 d4 
 ’ 	 213 	 	 d5 
 ÷ 	 214 	 	 d6 
 ◊ 	 215 	 	 d7 
 ÿ 	 216 	 	 d8 
 Ÿ 	 217 	 	 d9 
 ⁄ 	 218 	 	 da 
 € 	 219 	 	 db 
 ‹ 	 220 	 	 dc 
 › 	 221 	 	 dd 
 ﬁ 	 222 	 	 de 
 ﬂ 	 223 	 	 df 
 ‡ 	 224 	 	 e0 
 · 	 225 	 	 e1 
 ‚ 	 226 	 	 e2 
 „ 	 227 	 	 e3 
 ‰ 	 228 	 	 e4 
 Â 	 229 	 	 e5 
 Ê 	 230 	 	 e6 
 Á 	 231 	 	 e7 
 Ë 	 232 	 	 e8 
 È 	 233 	 	 e9 
 Í 	 234 	 	 ea 
 Î 	 235 	 	 eb 
 Ï 	 236 	 	 ec 
 Ì 	 237 	 	 ed 
 Ó 	 238 	 	 ee 
 Ô 	 239 	 	 ef 
  	 240 	 	 f0 
 Ò 	 241 	 	 f1 
 Ú 	 242 	 	 f2 
 Û 	 243 	 	 f3 
 Ù 	 244 	 	 f4 
 ı 	 245 	 	 f5 
 ˆ 	 246 	 	 f6 
 ˜ 	 247 	 	 f7 
 ¯ 	 248 	 	 f8 
 ˘ 	 249 	 	 f9 
 ˙ 	 250 	 	 fa 
 ˚ 	 251 	 	 fb 
 ¸ 	 252 	 	 fc 
 ˝ 	 253 	 	 fd 
 ˛ 	 254 	 	 fe 
